"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2013","28.67","27.33","33.95","27.06","2.40M","5.17%"
"06/01/2013","27.26","28.76","29.00","25.74","1.13M","-5.15%"
"05/01/2013","28.74","25.41","29.80","24.56","2.52M","12.57%"
"04/01/2013","25.53","21.41","26.38","20.94","2.48M","19.47%"
"03/01/2013","21.37","21.08","22.72","20.34","1.32M","1.42%"
"02/01/2013","21.07","22.00","22.00","20.22","2.16M","-3.88%"
"01/01/2013","21.92","19.37","24.44","18.60","4.54M","15.43%"
"12/01/2012","18.99","17.63","20.00","17.42","2.55M","8.14%"
"11/01/2012","17.56","17.86","19.14","16.56","3.64M","-1.51%"
"10/01/2012","17.83","23.46","24.13","17.30","4.25M","-24.35%"
"09/01/2012","23.57","22.44","24.47","21.97","2.22M","4.48%"
"08/01/2012","22.56","21.68","23.84","21.16","2.97M","4.40%"
"07/01/2012","21.61","22.65","23.61","19.38","4.97M","-4.89%"
"06/01/2012","22.72","22.68","24.04","21.57","4.19M","-2.57%"
"05/01/2012","23.32","25.89","26.64","22.56","5.17M","-10.17%"
"04/01/2012","25.96","22.87","27.94","20.81","14.11M","12.87%"
"03/01/2012","23.00","25.45","26.65","22.58","10.18M","-9.45%"
"02/01/2012","25.40","26.13","28.90","24.09","11.13M","-1.78%"
"01/01/2012","25.86","25.10","31.66","25.05","14.37M","5.21%"
"12/01/2011","24.58","27.95","29.88","24.50","10.04M","-12.18%"
"11/01/2011","27.99","30.25","32.75","24.89","12.00M","-12.15%"
"10/01/2011","31.86","21.58","34.95","20.68","17.31M","44.88%"
"09/01/2011","21.99","36.61","37.49","21.24","21.50M","-39.79%"
"08/01/2011","36.52","54.51","58.15","31.45","30.85M","-30.83%"
"07/01/2011","52.80","65.30","90.80","51.80","37.97M","-18.32%"
"06/01/2011","64.64","75.33","77.38","51.48","35.25M","-13.97%"
"05/01/2011","75.14","81.20","82.81","63.20","26.20M","-8.22%"
"04/01/2011","81.87","67.54","103.80","66.02","32.43M","22.95%"
"03/01/2011","66.59","39.58","69.79","38.73","10.06M","68.80%"
"02/01/2011","39.45","47.90","53.21","36.19","9.67M","-16.06%"
"01/01/2011","47.00","41.79","52.71","40.41","5.12M","13.60%"
"12/01/2010","41.38","44.28","46.46","37.82","5.40M","-3.76%"
"11/01/2010","42.99","34.53","43.44","31.68","6.68M","25.15%"
"10/01/2010","34.35","26.03","36.90","24.23","6.12M","33.35%"
"09/01/2010","25.76","18.64","26.99","18.64","4.33M","41.07%"
"08/01/2010","18.26","15.78","19.42","14.06","1.09M","17.35%"
"07/01/2010","15.56","12.38","16.39","11.60","1.29M","25.69%"
"06/01/2010","12.38","16.13","17.22","11.71","1.04M","-23.82%"
"05/01/2010","16.25","20.05","20.26","14.13","1.37M","-18.51%"
"04/01/2010","19.94","15.26","21.01","14.97","2.37M","32.84%"
"03/01/2010","15.01","11.40","16.15","11.28","1.99M","31.67%"
"02/01/2010","11.40","10.78","12.23","10.78","886.80K","6.24%"
"01/01/2010","10.73","12.33","12.91","10.29","579.29K","-12.69%"
"12/01/2009","12.29","14.26","14.44","12.04","1.10M","-13.08%"
"11/01/2009","14.14","14.03","15.38","13.60","887.10K","2.32%"
"10/01/2009","13.82","14.14","14.44","12.00","731.73K","-2.19%"
"09/01/2009","14.13","12.04","14.94","10.91","980.35K","16.87%"
"08/01/2009","12.09","13.83","14.48","11.78","868.60K","-11.43%"
"07/01/2009","13.65","11.06","14.24","10.51","897.76K","24.54%"
"06/01/2009","10.96","10.40","12.35","8.87","1.60M","7.66%"
"05/01/2009","10.18","8.42","11.38","8.29","540.66K","17.82%"
"04/01/2009","8.64","6.09","8.70","5.93","445.72K","38.24%"
"03/01/2009","6.25","5.25","6.84","5.18","365.89K","12.41%"
"02/01/2009","5.56","3.88","5.84","3.88","703.78K","38.65%"
"01/01/2009","4.01","5.52","5.93","3.72","941.42K","-27.88%"
"12/01/2008","5.56","6.96","7.61","5.37","1.71M","-21.91%"
"11/01/2008","7.12","4.41","7.18","4.33","1.60M","61.09%"
"10/01/2008","4.42","7.78","8.39","4.11","2.87M","-44.19%"
"09/01/2008","7.92","7.99","8.40","6.08","2.55M","1.15%"
"08/01/2008","7.83","6.99","8.25","6.95","2.46M","13.97%"
"07/01/2008","6.87","8.39","9.54","6.45","5.09M","-19.84%"
"06/01/2008","8.57","10.65","11.74","8.57","3.51M","-19.76%"
"05/01/2008","10.68","11.04","11.54","9.77","3.48M","-4.13%"
"04/01/2008","11.14","11.31","13.26","11.07","4.17M","0.91%"
"03/01/2008","11.04","10.04","12.96","9.61","5.72M","9.31%"
"02/01/2008","10.10","15.95","17.20","10.00","5.44M","-36.24%"
"01/01/2008","15.84","13.74","16.34","11.72","5.04M","15.79%"
"12/01/2007","13.68","15.30","16.36","13.44","3.39M","-10.41%"
"11/01/2007","15.27","17.72","20.00","14.80","4.91M","-15.17%"
"10/01/2007","18.00","23.50","24.85","16.80","10.05M","-21.57%"
"09/01/2007","22.95","19.25","24.97","18.01","6.24M","19.10%"
"08/01/2007","19.27","20.67","21.80","16.60","7.99M","-6.73%"
"07/01/2007","20.66","26.61","29.38","20.46","10.25M","-22.30%"
"06/01/2007","26.59","26.01","27.46","24.73","6.29M","3.14%"
"05/01/2007","25.78","27.60","28.83","25.50","8.67M","-7.13%"
"04/01/2007","27.76","36.80","40.68","27.35","11.55M","-24.50%"
"03/01/2007","36.77","32.52","39.20","32.50","7.95M","9.40%"
"02/01/2007","33.61","30.63","36.36","30.02","10.32M","9.98%"
"01/01/2007","30.56","30.02","32.05","28.67","3.66M","2.04%"
"12/01/2006","29.95","30.91","32.93","29.68","7.39M","-3.23%"
"11/01/2006","30.95","32.82","35.08","30.01","11.62M","-4.97%"
"10/01/2006","32.57","28.68","40.10","28.23","19.44M","13.01%"
"09/01/2006","28.82","29.88","31.68","26.95","7.08M","-3.03%"
"08/01/2006","29.72","29.47","35.95","27.14","12.82M","0.54%"
"07/01/2006","29.56","30.45","37.87","26.17","20.36M","-2.57%"
"06/01/2006","30.34","30.21","31.80","25.34","10.90M","1.88%"
"05/01/2006","29.78","39.48","42.55","29.16","26.37M","-22.69%"
"04/01/2006","38.52","19.65","52.99","18.41","50.00M","96.73%"
"03/01/2006","19.58","18.60","20.14","17.10","2.68M","5.38%"
"02/01/2006","18.58","20.60","22.00","16.50","4.91M","-9.89%"
"01/01/2006","20.62","22.00","25.19","19.66","4.72M","-6.27%"
"12/01/2005","22.00","21.83","26.30","21.65","6.10M","1.34%"
"11/01/2005","21.71","18.30","22.87","17.51","7.40M","16.60%"
"10/01/2005","18.62","22.17","23.48","16.61","7.78M","-16.09%"
"09/01/2005","22.19","23.12","27.22","21.31","12.25M","-4.06%"
"08/01/2005","23.13","30.15","30.60","22.65","5.76M","-23.28%"
"07/01/2005","30.15","32.82","34.27","28.90","9.29M","-8.16%"
"06/01/2005","32.83","33.02","38.75","30.80","20.15M","-0.24%"
"05/01/2005","32.91","28.05","34.90","27.02","27.09M","18.81%"
"04/01/2005","27.70","50.30","56.70","27.45","31.98M","-44.29%"
"03/01/2005","49.72","62.50","65.75","41.54","20.88M","-19.36%"
"02/01/2005","61.66","58.75","72.50","49.30","21.52M","6.46%"
